filename;10;45;80;115;150;185;220;255
house;221;595;742;937;937;937;937;937
bridge;286;982;1427;1780;2022;2249;2249;2249
camera;174;576;861;1111;1254;1254;1254;1254
bird;76;299;450;593;632;632;632;632
3;309;1018;1592;2282;2282;2282;2282;2282
w6;238;748;1178;1501;1995;1995;1995;1995
2;5;5;5;5;5;5;5;5
output6;485;1701;2625;3279;3640;3640;3640;3640
Fig.17;64;246;246;246;246;246;246;246
mandrill;716;2257;3163;3872;4269;4269;4269;4269
barb;392;1289;1950;2482;2877;3065;3065;3065
boat;579;2075;3098;3632;4071;4071;4071;4071
zelda;282;1047;1653;2279;2530;2530;2530;2530
goldhill;465;1694;2543;3233;3843;3843;3843;3843
lena;287;1013;1591;2009;2691;2691;2691;2691
washsat;533;533;533;533;533;533;533;533
peppers;325;1233;2047;2729;3964;3964;3964;3964
w2;268;940;1426;1825;2184;2448;2448;2448
Fig.5;33;33;33;33;33;33;33;33
mountain;643;2013;2861;2861;2861;2861;2861;2861
